YEAR,DOY,RH2M,GWETROOT
2022,232,59.5,-999.0
2022,233,62.12,-999.0
2022,234,93.0,-999.0
2022,235,85.44,-999.0
2022,236,80.38,-999.0
2022,237,69.38,-999.0
2022,238,79.25,-999.0
2022,239,83.12,-999.0
2022,240,76.94,-999.0
2022,241,78.69,-999.0
2022,242,76.75,-999.0
2022,243,74.56,-999.0
2022,244,65.38,-999.0
2022,245,66.19,-999.0
2022,246,72.75,-999.0
2022,247,78.0,-999.0
2022,248,93.81,-999.0
2022,249,96.88,-999.0
2022,250,89.38,-999.0
2022,251,84.06,-999.0
2022,252,77.94,-999.0
2022,253,77.0,-999.0
2022,254,79.31,-999.0
2022,255,84.0,-999.0
2022,256,94.5,-999.0
2022,257,79.44,-999.0
2022,258,65.31,-999.0
2022,259,69.81,-999.0
2022,260,72.25,-999.0
2022,261,83.25,-999.0
2022,262,91.31,-999.0
2022,263,91.06,-999.0
2022,264,83.0,-999.0
2022,265,90.88,-999.0
2022,266,67.25,-999.0
2022,267,66.25,-999.0
2022,268,83.81,-999.0
2022,269,82.81,-999.0
2022,270,80.44,-999.0
2022,271,78.88,-999.0
2022,272,75.81,-999.0
2022,273,75.62,-999.0
